Feature,Basic_Tree,Best_Tree,Pruned_Tree,Viz_Tree
N,0.10747632116051925,0.10770426669850548,0.10806756249524464,0.0
P,0.21869497412173888,0.2191588022747012,0.21929557994227145,0.1677631578947369
K,0.10197627115765158,0.10098061410511515,0.10181936871298769,0.1677631578947369
temperature,0.0058420848579522145,0.005854475281829101,0.004547711290830341,0.0
humidity,0.2194764938752264,0.2199419795462237,0.21703301742983233,0.49671052631578927
ph,0.005930135767387125,0.005033759748714713,0.005075570637087435,0.0
rainfall,0.3406037190595246,0.3413261023449106,0.3441611894917461,0.1677631578947369
