Model,Accuracy,Precision,Recall,F1_Score,Tree_Depth,Num_Leaves,Num_Nodes
Basic Tree,0.045454545454545456,0.002066115702479339,0.045454545454545456,0.003952569169960475,17,37,73
Best Tuned Tree,0.045454545454545456,0.002066115702479339,0.045454545454545456,0.003952569169960475,15,35,69
Pruned Tree,0.045454545454545456,0.002066115702479339,0.045454545454545456,0.003952569169960475,13,29,57
Visualization Tree,0.045454545454545456,0.002066115702479339,0.045454545454545456,0.003952569169960475,4,7,13
