cluster,size,N_mean,P_mean,K_mean,temp_mean,humidity_mean,ph_mean,rainfall_mean,dominant_crop,crop_diversity
0,23,39.52173913043478,70.26086956521739,78.82608695652173,18.759195202608698,17.060179386086958,7.229402627086956,80.2681305421739,chickpea,1
1,8,55.125,64.375,80.125,19.67668706875,16.96953445125,6.4475529325,81.6669993175,chickpea,1
2,16,46.9375,67.5625,79.6875,18.21056886375,16.87836189,7.8398911395625,77.95034770437499,chickpea,1
3,13,27.923076923076923,68.15384615384616,81.92307692307692,19.42977104846154,16.02103878230769,6.436263356384615,82.84008797384617,chickpea,1
4,44,22.204545454545453,64.22727272727273,20.15909090909091,20.174755537045453,21.687959763636368,5.721440960386364,119.33815822136363,kidneybeans,1
5,100,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996,mungbean,1
6,8,26.875,64.125,20.625,32.77972152875,66.26301446999999,7.492897500625,68.0126988575,blackgram,1
7,15,46.8,64.6,18.866666666666667,28.369029700666662,64.50182960666667,6.753266180933333,69.42210936533334,blackgram,1
8,24,30.666666666666668,67.04166666666667,18.875,29.354968965416663,65.09396275083334,7.150434295291666,65.67112979166667,blackgram,2
9,8,44.125,66.0,18.0,26.12301882125,66.07125271625,7.35807868975,65.45190229625,blackgram,2
10,8,12.0,65.25,21.375,27.66336946125,65.22154001874999,7.290742182,42.889522443749996,lentil,1
11,9,15.88888888888889,72.55555555555556,19.444444444444443,24.647416635555558,64.99400659333334,7.239637641555556,43.78204418222222,lentil,1
12,8,12.375,67.0,20.375,25.33125202,64.00453763875,6.5643573285,44.77783012875,lentil,1
13,22,18.136363636363637,19.681818181818183,40.95454545454545,19.717862975454548,89.612529875,6.90521120809091,107.70456261818184,pomegranate,1
14,24,11.541666666666666,19.875,40.208333333333336,23.553732719583333,91.11143263333334,6.121273510833333,107.33562067083334,pomegranate,1
15,4,17.0,8.75,39.75,23.1240355375,89.89556373,6.6732513435000005,108.421558825,pomegranate,1
16,86,100.90697674418605,81.90697674418605,50.06976744186046,27.38982572104652,80.20473936488372,5.992919955534884,104.74581876999999,banana,1
17,199,99.77889447236181,17.381909547738694,50.130653266331656,27.1410561841206,88.74624113130655,6.429240154306533,37.70622445396985,muskmelon,2
18,100,20.8,134.22,199.89,22.6309424132,92.33338287560002,5.929662931809999,112.65477927500002,apple,1
19,10,27.3,12.1,31.3,27.745248741,95.14752851,5.9128311060000005,211.09722714,coconut,1
20,8,26.625,16.5,30.25,27.466535568749997,93.9995149525,5.848455566375,144.12105965,coconut,1
21,17,127.94117647058823,46.1764705882353,18.823529411764707,24.501951353529414,80.4224513982353,6.718848617411766,79.96409616058824,cotton,1
22,12,105.33333333333333,41.916666666666664,20.75,23.033974799999996,80.11235111166667,7.316691176416665,81.36576357666665,cotton,1
23,26,108.65384615384616,46.84615384615385,19.807692307692307,23.82813070692308,78.53742940423078,6.288163600807692,77.35595869192308,cotton,2
24,8,121.375,50.375,19.0,24.070638239999997,77.82157839875,7.91537023575,77.96638374,cotton,1
25,34,82.97058823529412,43.73529411764706,40.794117647058826,25.21617647911765,81.04430559235296,6.686614185058822,180.4730932117647,jute,2
