Components,LDA_Direct_Accuracy,LDA_LR_Accuracy,Explained_Variance_LDA,PCA_LR_Accuracy,Explained_Variance_PCA
1,0.9606060606060606,0.31212121212121213,0.8440285460701077,0.36666666666666664,0.40132002089072083
2,0.9606060606060606,0.7,0.9371348213596314,0.6818181818181818,0.7449756693365517
3,0.9606060606060606,0.8878787878787879,0.9614910058084228,0.8393939393939394,0.9027486840489727
4,0.9606060606060606,0.9666666666666667,0.9796963472491284,0.9575757575757575,0.9677458368078775
5,0.9606060606060606,0.9696969696969697,0.9961857175794985,0.9757575757575757,0.9972426205947375
6,0.9606060606060606,0.9787878787878788,0.9987212273199068,0.990909090909091,0.9999333349752627
7,0.9606060606060606,0.9818181818181818,1.0,0.990909090909091,0.9999999999999998
