Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,Cohen_Kappa,MCC,CV_Mean,CV_Std,Train_Time,Pred_Time,Overfitting,Accuracy_Score,F1_Normalized,CV_Normalized,Speed_Score,Generalization_Score,Overall_Score
Random Forest,0.9980519480519481,0.9878787878787879,0.996969696969697,0.9971590909090909,0.996969696969697,0.9969663262210536,0.9968253968253968,0.9968349864336822,0.996103896103896,0.0031811555101080107,0.23859667778015137,0.09001469612121582,0.0010822510822511289,0.8571428571428564,0.8578696235801039,1.0,0.9947063050326754,0.752577319587629,0.8891957683570562
Voting Classifier,1.0,0.990909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.9896103896103895,0.004307304922539482,20.779155731201172,0.2123730182647705,0.0,1.0,1.0,0.7499999999999979,0.5074457447690626,0.8041237113402084,0.8811569456109267
Stacking Classifier,1.0,0.990909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.9915584415584415,0.006685474117524003,42.17062497138977,0.21881890296936035,0.0,1.0,1.0,0.8250000000000011,0.0,0.8041237113402084,0.8454123711340211
Gradient Boosting,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,1.0,1.0,0.9805194805194806,0.004591602475237315,20.372504472732544,0.08404850959777832,0.0,1.0,1.0,0.4000000000000043,0.5170922748132545,0.8041237113402084,0.8121215986153472
XGBoost,1.0,0.9878787878787879,0.990909090909091,0.9912878787878788,0.990909090909091,0.9909023494118042,0.9904761904761905,0.9904952478071488,0.9935064935064934,0.0020534270520573723,1.8775522708892822,0.033682823181152344,0.009090909090909038,0.5714285714285744,0.5737667933807801,0.9,0.9558272064420005,0.3711340206185618,0.6561378210512523
SVM,0.9961038961038962,0.9939393939393939,0.990909090909091,0.9918114973262032,0.990909090909091,0.9908786638833913,0.9904761904761905,0.9905238358662403,0.9811688311688311,0.004307304922539475,0.11087775230407715,0.08787202835083008,0.0051948051948051965,0.5714285714285744,0.5726571048267913,0.42500000000000104,0.9977360373307053,0.5567010309278375,0.5836079830325533
Decision Tree,0.9987012987012988,0.9757575757575757,0.9818181818181818,0.9842357397504456,0.9818181818181818,0.9816959274279276,0.9809523809523809,0.9810845224470133,0.9844155844155844,0.007516777209604057,0.015439987182617188,0.0036678314208984375,0.016883116883116944,0.1428571428571436,0.14243754791943677,0.5500000000000022,1.0,0.0,0.2956093869798599
Logistic Regression,0.9746753246753247,0.9666666666666667,0.9787878787878788,0.9795183982683984,0.9787878787878788,0.9786556972875103,0.9777777777777777,0.9778248123294936,0.9701298701298701,0.009933154896609297,0.06640625,0.0005717277526855469,-0.004112554112554068,0.0,0.0,0.0,0.9987909847190451,1.0,0.19987909847190452
